AÑO JUDICIAL;"TÍTULO GENERAL  
(MATERIA DEL RECURSO)";"TÍTULO ESPECIFICO 
(SUMILLA)";FUENTE LIBRO
1962;----;La administración de bienes comunes puede provocarse no obstante la existencia de una sociedad de hecho.;Anales Judiciales de la Corte Suprema de Justicia 1962
1962;----;La regla del artículo 992 del C. de P. C. rige las cosas públicas que son de todos y no están en el comercio de los hombres, pero no los puestos municipales en los mercados, que se arriendan o ceden mediante un cánon.;Anales Judiciales de la Corte Suprema de Justicia 1962
1962;----;Para demandar la nulidad de una resolución que ha dispuesto de cosa ajena, no se necesita agotar previamente la vía administrativa.;Anales Judiciales de la Corte Suprema de Justicia 1962
1962;----;La exhibición de libros de contabilidad debe verificarse en la forma prescrita por el art. 445 del C. de P. C., con intervención del escribano de la causa, sin que pueda suplirse con la presentación en copia fotostática de los respectivos asientos.;Anales Judiciales de la Corte Suprema de Justicia 1962
1962;----;El subastador no responde por los embargos recaídos en el bien que ha adquirido cuando dichos embargos han sido trabados con posterioridad a la subasta.;Anales Judiciales de la Corte Suprema de Justicia 1962
1962;----;Los procedimientos no contenciosos sólo pueden ser contradichos por quienes han sido parte en los mismos.;Anales Judiciales de la Corte Suprema de Justicia 1962
1962;----;Constituyendo el inmueble sub litis, litis, propiedad indivisa de demandantes y demandados, no procede el interdicto de recobrar.;Anales Judiciales de la Corte Suprema de Justicia 1962
1962;----;La petición para que se entregue al administrador de bien común, los bienes de la sucesión, sólo puede atenderse cuando se ha faccionado el inventario ;Anales Judiciales de la Corte Suprema de Justicia 1962
1962;----;No puede ejercitarse en un interdicto, una acción declarativa sobre establecimiento de una servidumbre o extinción de la misma ;Anales Judiciales de la Corte Suprema de Justicia 1962
1962;----;"Es nula la sentencia penal que falla sin haber procurado la prueba de la existencia de la prole, como consecuencia de delito sexual; y omite la pensión de alimentos que indica el art. 204 del C. P.";Anales Judiciales de la Corte Suprema de Justicia 1962
1962;----;"Los elementos tipificantes del delito de abuso de autoridad son: el cargo de funcionario público, del sujeto activo del delito; la privación de la libertad garantizada por el art. 56 de la Constitución; la ilegalidad de la medida; y la ausencia de motivo fundado para ordenar la detención.";Anales Judiciales de la Corte Suprema de Justicia 1962
1962;----;Tratándose de delitos sancionados con pena alternativa y habiéndose pasado a juicio oral, la excepción de prescripción propuesta, sólo puede ser resuelta en la sentencia.;Anales Judiciales de la Corte Suprema de Justicia 1962
1962;----;La ley 13674, sobre cuantía en materia penal, no comprende el delito de daños, porque la naturaleza del delito es ajena a la consideración del monto de la infracción.;Anales Judiciales de la Corte Suprema de Justicia 1962
1962;----;"Los reparos opuestos a la actividad jurisdiccional de los jueces, no dan margen al ejercicio del ""Habeas Corpus"". No existe violación de garantía constitucional y hay recursos impugnatorios y otros remedios procesales para conjurar la situación lesiva a las partes.";Anales Judiciales de la Corte Suprema de Justicia 1962
1962;----;Dictado el auto apertorio de instrucción, sólo puede ampliarse a petición del Ministerio Fiscal o de oficio por el Instructor.;Anales Judiciales de la Corte Suprema de Justicia 1962
1962;----;La actividad del Juez de Menores está orientada a dictar medidas tutelares y no tiene el carácter de la instrucción a que se refiere el inciso 7° del art. 29 del C. de P. P. En consecuencia, no hay fundamento legal para su excusa cuando interviene en el proceso penal abierto contra el que estuvo sometido a aquélla jurisdicción.;Anales Judiciales de la Corte Suprema de Justicia 1962
1962;----;La parte civil carece de facultad legal para solicitar la ampliación del auto apertorio de instrucción, facultad que sólo puede ejercitar el Ministerio Fiscal y el Juez Instructor, por el carácter propio de sus respectivas funciones.;Anales Judiciales de la Corte Suprema de Justicia 1962
1962;----;"El extraordinario recurso de ""Habeas Corpus"", es un ""remedio"", que tiende a conjurar una situación infractoria de los derechos que la Constitución reconoce. Cuando el damnificado ha recuperado su ""status"" legal, el ""Habeas Corpus"" deviene inoperante. Corresponde, al agraviado, ejercitar acción penal ordinaria, en su caso.";Anales Judiciales de la Corte Suprema de Justicia 1962
1962;----;No procede el recurso de nulidad contra las resoluciones que admiten o rechazan la constitución del agraviado en parte civil, ya se trate de persona natural o jurídica;Anales Judiciales de la Corte Suprema de Justicia 1962
1962;----;El Juez Instructor que toma conocimiento que otro Juzgado se encuentra conociendo del mismo delito, debe aplazar la resolución del incidente de libertad mientras no se precise la identidad del culpable y se resuelva el problema de la acumulación o conexión, para respetar el principio de la unidad de la investigación penal;Anales Judiciales de la Corte Suprema de Justicia 1962
1962;----;Es nula la resolución dictada por el Tribunal Correccional, cuando su Fiscal no ha motivado el dictamen, en la forma de ley, por tratarse de un requisito de estricta observancia procesal.;Anales Judiciales de la Corte Suprema de Justicia 1962
1962;----;No pudiendo contener la letra de cambio intereses pactados, los que pueden demandarse son los legales desde la fecha de la citación con el auto de pago, o sea el cinco por ciento.;Anales Judiciales de la Corte Suprema de Justicia 1962
1962;----;Al resolver una reclamación por daños ocasionados por un incendio, el Juez debe fijar la cantidad líquida materia de la indemnización, y no remitirla a la ejecución de sentencia. Es condición indispensable que las mercaderías hayan sido valorizadas antes del incendio y con prosterioridad al siniestro.;Anales Judiciales de la Corte Suprema de Justicia 1962
1962;----;El ejecutado, al oponerse, no puede hacer valer las relaciones personales, respecto del endosatario, quien no tiene porque conocer el origen de la cambial, dada la autonomía de dicho instrumento.;Anales Judiciales de la Corte Suprema de Justicia 1962
1962;----;Los créditos por arrendamientos a cargo del fallido, deben pagarse en el orden y en la oportunidad que señalan los arts. 115 y 118 de la Ley Procesal de Quiebras. ( (Concordante con el art. 110 de la misma ley);Anales Judiciales de la Corte Suprema de Justicia 1962
1962;----;"La fianza no puede operar a favor de tercero, sino exclusivamente con relación a las personas que figuran en el documento de la obligación; y en el modo y forma que en dicho instrumento se especifique.";Anales Judiciales de la Corte Suprema de Justicia 1962
1962;----;Al fijar el Juez el honorario del Síndico de la Quiebra, debe señalar cantidad líquida, por un equivalente que en ningún caso debe exceder del cuatro por ciento de la masa de la quiebra.;Anales Judiciales de la Corte Suprema de Justicia 1962
1962;----;En el seguro contra robo y siniestros semejantes, el asegurador responde por la suma líquida encontrada en determinado momento, y además, por las posteriores que se pudieran descubrir, por provenir la reclamación ampliatoria de un solo hecho y de un mismo contrato.;Anales Judiciales de la Corte Suprema de Justicia 1962
1962;----;Los protestos que omitan cualesquiera de los requisitos señalados en los arts. 491 del Código de Comercio y 592 del C. de P. C., pierden su mérito ejecutivo. Pueden recuperarlo después, según su caso, mediante la diligencia de reconocimiento respectiva y siempre dentro del plazo de la prescripción comercial para esta clase de títulos;Anales Judiciales de la Corte Suprema de Justicia 1962
1962;----;La acción ejecutiva por derecho de cambio, debe ser aparejada con los instrumentos originales y no con sus copias fotostáticas, so pena de improcedencia de dicha acción ;Anales Judiciales de la Corte Suprema de Justicia 1962
1962;----;"No habiéndose protestado la letra de cambio contra el avalista, no puede convalidarse la omisión con una diligencia preparatoria judicial de reconocimiento; y por lo mismo, no procede la acción ejecutiva contra él, por la naturaleza sui generis de este tipo de fianza mercantil ";Anales Judiciales de la Corte Suprema de Justicia 1962
1962;----;Los Jueces de Trabajo no son competentes para conocer de las reclamaciones de los servidores para que se les empadrone como empleados de Comercio. ;Anales Judiciales de la Corte Suprema de Justicia 1962
1962;----;Los Jueces de Trabajo no tienen competencia para conocer de la reclamación por el pago de sueldos insolutos de los empleados de comercio, como petición exclusiva de la demanda .. ;Anales Judiciales de la Corte Suprema de Justicia 1962
1962;----;"La Ley de Accidentes de Trabajo no considera como titulares de la renta a quienes estarían llamados por el derecho de sucesión establecido en el Código Civil, sino que se basa en la estabilidad económica de quienes dependían del fallecido. Sin embargo, si la empresa no ha planteado una excepción de ""falta de título para reclamar"", la renta puede ser pagada de acuerdo con las reglas de la sucesión legal.";Anales Judiciales de la Corte Suprema de Justicia 1962
1962;----;Las reclamaciones que se presentan por parte de las agrupaciones gremiales, relacionadas con el interés colectivo de dichas agrupaciones, deben ser resueltas por las autoridades administrativas de trabajo, de acuerdo con las leyes y reglamentos aplicables;Anales Judiciales de la Corte Suprema de Justicia 1962
1962;----;EI Juez de Trabajo, o el de Primera Instancia, en los lugares donde no existe dicha judicatura, no tienen competencia para conocer del incumplimiento de Pactos Colectivos laborales. Es del resorte exclusivo del Ministerio de Trabajo y Asuntos Indigenas resolver tal reclamación;Anales Judiciales de la Corte Suprema de Justicia 1962
1962;----;En los casos previstos en la ley, la exclusividad en el servicio a un principal, constituye elemento indispensable para gozar de los beneficios sociales, al término del contrato de empleo.;Anales Judiciales de la Corte Suprema de Justicia 1962
1962;----;La calidad de socio fundador y la posesión de acciones que representan el percibo de una utilidad superior al 5% del rendimiento del negocio, excluyen el derecho a la petición de beneficios sociales.;Anales Judiciales de la Corte Suprema de Justicia 1962
1962;----;En los contratos de trabajo a plazo fijo, no procede al vencimiento el abono de tres sueldos por despedida.;Anales Judiciales de la Corte Suprema de Justicia 1962
1962;----;La Ley N° 13266 no ha creado una nueva situación jurídica respecto de los contadores, sino que ha regulado las condiciones en que éstos deben desempeñar su labor para alcanzar los beneficios sociales que conceden las leyes del empleado.;Anales Judiciales de la Corte Suprema de Justicia 1962
1962;----;No tratándose de fusión de sociedades, ni traspaso del activo, ni participación en los negocios, sino de venta y enajenación total, y habiéndose abonado los beneficios sociales para realizar la venta, la nueva empresa no tiene obligaciones laborales con el antiguo personal.;Anales Judiciales de la Corte Suprema de Justicia 1962
1962;----;La reclamación por horas extraordinarias de trabajo, desvinculada de cualquier otra petición sobre beneficios sociales, es extraña a la competencia de los Jueces de Trabajo.;Anales Judiciales de la Corte Suprema de Justicia 1962
1962;----;"La dispensa del plazo de aviso de despedida, es potestativa tanto para el servidor cuanto para el principal; y, caso de ser aceptada, debe constar de modo fehaciente para considerar terminada la locación de servicios.";Anales Judiciales de la Corte Suprema de Justicia 1962
1962;----;La falta grave, para ser opuesta a la demanda como excepción de defensa, requiere haber sido comunicada a la Dirección de Trabajo en la oportunidad legal correspondiente.;Anales Judiciales de la Corte Suprema de Justicia 1962
1962;----;El accionista con derecho a utilidades, carece de derecho para gozar de beneficios sociales. Puede sí cobrar sueldos por labor desarrollada mediante convenio.;Anales Judiciales de la Corte Suprema de Justicia 1962
1962;----;El cortador de pieles, por el carácter esencialmente manual de su labor, no tiene la calidad de empleado de comercio. La ley 12527 regula otro tipo de ocupación, en la que evidentemente se considera labor intelectual de dirección.;Anales Judiciales de la Corte Suprema de Justicia 1962
1962;----;La regulación de los sueldos por inhabilitación, debe sujetarse estrictamente a lo mandado por el art. 5º de la Ley N° 4916;Anales Judiciales de la Corte Suprema de Justicia 1962
1962;----;La suspensión indefinida en las labores de un empleado, comporta una despedida directa del trabajo y se encuentra expedita la acción para el pago de beneficios sociales.;Anales Judiciales de la Corte Suprema de Justicia 1962
1963;----;En los preceptos de la legislación civil sobre interdicción, manifiestan el propósito de colocar en ese estado a personas que sean incapaces de dirigir sus negocios, que no puedan prescindir de cuidados y socorros permanentes ó que amenacen la seguridad ajena.;Anales Judiciales de la Corte Suprema de Justicia 1963
1963;----;La acción de petición de herencia es distinta de la de contradicción que reconoce el Art. 1084 del C. de P.C., y la resolución recaída en el procedimiento no contencioso sobre declaratoria de herederos, no puede oponerse como cosa juzgado al que ejercita la de petición de herencia, aún en el caso que se ejercitase después de los seis meses en que caduca la de contradicción.;Anales Judiciales de la Corte Suprema de Justicia 1963
1963;----;El plazo de prescripción para el ejercicio de la acción de alimentos, es de tres años contados desde la fecha del nacimiento o de la cesación de los socorros. La acción de impugnación al reconocimiento de un hijo conferida al padre o a la madre que no ha intervenido en él, prescribe a los 3 meses contados a partir del día en que se tuvo conocimiento del acto. El reconocimiento de los hijos ilegítimos, puede hacerse en el Registro de Nacimientos, por Escritura Pública ó en testamento, pero no en la partida de bautismo.;Anales Judiciales de la Corte Suprema de Justicia 1963
1963;----;Es nulo el acto jurídico en una escritura de venta otorgada por un padre a favor de su hijo, cuando hay elementos de pruebas suficientes para acreditar que se ocultó un anticipo de legítima con el objeto de evitar, en su momento, la colación hereditaria.;Anales Judiciales de la Corte Suprema de Justicia 1963
1963;----;Habiendo declarado el comprador de un inmueble, que la compra ia hacía para sus nietos, sin haberse reservado en la escritura ningún derecho referente al bien adquirido, no puede transferir después dicho bien a tercera persona por no estar incorporado a su patrimonio.;Anales Judiciales de la Corte Suprema de Justicia 1963
1963;----;Si el marico autoriza a la cónyuge para un viaje, sostiene correspondencia y remite dinero, no puede sostenerse la existencia de abandono malicioso y voluntario, fundada en la circunstancia de no haber regresado la esposa.;Anales Judiciales de la Corte Suprema de Justicia 1963
1963;----;El Consejo de Familia funciona válidamente con la concurrencia de por lo menos cuatro miembros hábiles.Procede recurso de nulidad del auto que desestima la nulidad de un Acuerdo de Consejo de Familia.;Anales Judiciales de la Corte Suprema de Justicia 1963
1963;----;En la acción de aviso de despedida por casa única, si el demandante es casado, debe hacerse la búsqueda de las constancias de los Registros Públicos, por el nombre de ambos cónyuges, y tratándose de acciones instauradas en Lima, es obligatoria también la presentación del Registro de la Propiedad del Callao.;Anales Judiciales de la Corte Suprema de Justicia 1963
1963;----;La reacción del marido, aún desmedida y ordinaria, si es motivada por actitudes de la cónyuge que demuestran el desconocimiento de la autoridad marital a la que corresponde la dirección de la sociedad matrimonial, no configura ni la sevicia ni la injuria como causal de divorcio.;Anales Judiciales de la Corte Suprema de Justicia 1963
1963;----;No habiéndose formalizado la escritura de constitución social, por falta de la firma de uno de los que debieron suscribirla, no puede practicarse actos válidos con prescindencia de dicho condómino que importen el ejercicio de la personalidad de la Compañía. Los bienes indivisos no pueden ser aportados una sociedad por concepto del haber social sino íntegramente y por todos los condóminos.;Anales Judiciales de la Corte Suprema de Justicia 1963
1963;----;Cuando concurren a la herencia padres y cónyuges del de cujus y se trata de bienes comunes, la partición debe hacerse respetando el 50% por gananciales y el 50% restante dividirse como herencia por terceras partes entre los padres y la cónyuge del causante. ;Anales Judiciales de la Corte Suprema de Justicia 1963
1963;----;En la acción que nace de una ejecutoria prescribe a los veinte años, por lo que no puede oponerse a la ejecución de una sentencia, la consideración que el acreedor no ha exigido su derecho durante tiempo determinado, siempre que este tiempo no sea mayor que el plazo indicado de la prescripción.;Anales Judiciales de la Corte Suprema de Justicia 1963
1963;----;Todos los bienes de los cónyuges se presumen comunes, salvo prueba en contrario (Aplicación del Art. 185 del C.C.).;Anales Judiciales de la Corte Suprema de Justicia 1963
1963;----;La realización del comparendo en los juicios de separación y de divorcio, antes del vencimiento de la media hora de tolerancia, estando presentes los cónyuges, pero no el Señor Agente Fiscal, no puede invalidar el fallo porque la concurrencia del Ministerio Fiscal a estas diligencias es potestativa mas no obligatoria.;Anales Judiciales de la Corte Suprema de Justicia 1963
1963;----;En la acción de aviso de despedida por casa única, la falta de reconocimiento de los recibos de arrendamiento por quien los ha otorgado, no invalida el fallo, por tratarse de un trámite no exigido por la ley y porque los documentos privados no reconocidos son apreciados por el Juez según su prudente arbitrio.;Anales Judiciales de la Corte Suprema de Justicia 1963
1963;----;La infracción de las cláusulas de un contrato de locación-conducción o al vencimiento de plazo estipulado, dan lugar al ejercicio de la acciones rescisoria o de nulidad o a las de aviso de despedida o de desahucio, según su caso, mas no a la acción reivindicatoria, la que no procede contra los locatarios, sino contra el poseedor ilegítimo que desconoce el derecho de dominio del propietario.;Anales Judiciales de la Corte Suprema de Justicia 1963
1963;----;Cuando se trata de confusión de linderos, entre dos propiedades la acción que corresponde es la de deslinde, mas no la de interdicto de recobrar, por no tratarse de despojo.;Anales Judiciales de la Corte Suprema de Justicia 1963
1963;----;En las acciones por responsabilidad extracontraactual, no puede ser invocada la disposición del Art. 1141 del C.C. como elemento tendiente a disminuir el quantum de la indemnización, cuando tratándose de vehículos cuya explotación comporta riesgo, el propietario no ha dotado a la máquina de los indispensables aditamentos de seguridad.;Anales Judiciales de la Corte Suprema de Justicia 1963
1963;----;La acción de nulidad de una escritura de venta, en la que ha incidido un retracto, no afecta el derecho de propiedad de los retrayentes cuando éstos no han sido citados, con la mencionada acción de nulidad o de rescisión.;Anales Judiciales de la Corte Suprema de Justicia 1963
1963;----;La ley civil faculta el ejercicio de investigación de la paternidad ilegítima, antes del nacimiento del hijo (Aplicación del Art. 285 del C.C.).;Anales Judiciales de la Corte Suprema de Justicia 1963
1963;----;Procede la acción de desahucio contra el estado, fundada en la causal de falta de pago de la merced conductiva. El decreto Supremo de 16 de Noviembre de 1948 no puede modificar el Código Civil.;Anales Judiciales de la Corte Suprema de Justicia 1963
1963;----;No procede en interdicto de retener la mitad del cauce de una quebrada o río, porque el Art. 33 de la Constitución, dispone que no son objeto de propiedad privada los ríos y en consecuencia los alvéolos. No tratándose de bienes que pueden ganarse por prescripción, la acción interdictal es improcedente.;Anales Judiciales de la Corte Suprema de Justicia 1963
1963;----;Verificado el remate de un vehículo con arreglo a la ley del Registro Fiscal de Venta a Plazos, resulta infundada la demanda de división y partición sobre dicho vehículo, por haber salido ya de propiedad y del condominio de los interesados.;Anales Judiciales de la Corte Suprema de Justicia 1963
1963;----;El dueño del dominio útil, carece de la acción de aviso de despedida con arreglo a la ley 10222 para sustituir la casa con una de mayor número de departamentos. Al haberse abolido las vinculaciones el demandante carece de título idóneo para accionar.;Anales Judiciales de la Corte Suprema de Justicia 1963
1963;----;Habiéndose acordado en la Asamblea de una Asociación Civil la exclusión de uno de los asociados, las obligaciones cambiarias aceptadas por éste carecen de autonomía y no pueden ser exigibles, mas aún cuando en la escritura pública constitutiva de la Asociación no aparece comprendida la suma que se reclama como afecta al pago con las cotizaciones que deben oblar los miembros de la persona jurídica para la formación del haber social.;Anales Judiciales de la Corte Suprema de Justicia 1963
1963;----;Existiendo un principio de prueba escrita que establezca la realidad de una sociedad civil, puede invocarse dicho contrato por los co-interesados. La sociedad carente de patrimonio social, que se encuentra en la imposibilidad de cumplir sus fines, debe ser rescindido.;Anales Judiciales de la Corte Suprema de Justicia 1963
1963;----;Tratándose de acciones de interdicto de recobrar y de retener, es legalmente procedente su acumulación cuando dichas acciones versan sobre partes distintas de un mismo terreno.;Anales Judiciales de la Corte Suprema de Justicia 1963
1963;----;La pensión de alimentos para la cónyuge y para los hijos, señalada por el Juez en la sentencia de divorcio o en la separación, subsistirá mientras no se modifique en el juicio posterior que corresponde. (Aplicación del Art. 228 del Código Civil).;Anales Judiciales de la Corte Suprema de Justicia 1963
1963;----;Cuando los fallos judiciales resultan favorables al legítimo interés de los menores, la omisión del pronunciamiento del Ministerio Fiscal en Segunda Instancia no acarrea la nulidad de lo actuado.;Anales Judiciales de la Corte Suprema de Justicia 1963
1963;----;Cuando se anula el procedimiento de deshaucio, las consignaciones de arrendamientos efectuadas con anterioridad a la demanda, surten sus efectos jurídicos.;Anales Judiciales de la Corte Suprema de Justicia 1963
1963;----;Cuando los contratantes de una cuenta corriente llevan dos operaciones distintas y de origen diferente, la aplicación indiscriminada de los pagos que se verifican a las cuentas referidas, no permite precisar la suma líquida y exigible y por lo mismo es improcedente la acción ejecutiva.;Anales Judiciales de la Corte Suprema de Justicia 1963
1963;----;La circunstancia de que una propiedad está arrendada no priva al propietario de ejercitar los derechos inherentes al dominio, entre ellos el de donar. No procede en consecuencia la demarda de indemnización, por no dar lugar a ella el ejercicio regular de un derecho.;Anales Judiciales de la Corte Suprema de Justicia 1963
1963;----;Los menores de edad no pueden reconocer a un hijo ilegítimo, si no han cumplido la edad de dieciocho años, y sólo por testamento.;Anales Judiciales de la Corte Suprema de Justicia 1963
1963;----;Quien adquiere una propiedad sujeta a contrato de arrendamiento a término fijo, celebrado por el dueño anterior, tiene expedita la acción que franquea los Artículos 1531 y 1532 del Código Civil contra los arrendatarios.;Anales Judiciales de la Corte Suprema de Justicia 1963
1963;----;Dada la importancia y seriedad de los esponsales, para que produzca efectos jurídicos se requiere que consten de manera indubitable con publicidad del acto, a fin de diferenciar los simples amoríos o trato amoroso de la promesa formal de contraer matrimonio. ;Anales Judiciales de la Corte Suprema de Justicia 1963
1963;----;El Código Civil no da acción al padre ilegítimo para impugnar la paternidad que se le atribuye, la que sólo corresponde al padre legítimo, conforme a lo dispuesto en el artículo 301. Las acciones derivadas de la paternidad o filiación ilegítima están taxativamente enumeradas en el artículo 375 y los siguientes del Código Civil. ;Anales Judiciales de la Corte Suprema de Justicia 1963
1963;----;La presunción que el hijo nacido durante el matrimonio tiene por padre al marido, admite prueba en contrario. tida de nacimiento surte sus efectos legales mientras no sea declarada su nulidad en el juicio correspondiente.;Anales Judiciales de la Corte Suprema de Justicia 1963
1963;----;Por la naturaleza universal del juicio ordinario de división y partición en el que se controvierte y define la calidad de los bienes que constituyen la masa, es en dicho juicio en el que debe establecerse la calidad de bien propio o de bien común, que pudiera discutirse.;Anales Judiciales de la Corte Suprema de Justicia 1963
1963;----;Cuando el contrato de compra-venta se refiere a la adquisición de varios inmuebles, por suma global, el retrayente está obligado a consignar dicha suma sin perjuicio de que en su oportunidad se determine el valor del predio que se pretende retraer.;Anales Judiciales de la Corte Suprema de Justicia 1963
1963;----;En las obligaciones sin plazo, pero que por su naturaleza puede presumirse que ha querido concederse al deudor, el Juez fijará su duración de acuerdo con lo que dispone la segunda parte del artículo 1115 del Código Civil, concordante con el artículo 1578 del mismo Código y del 308 del C. de C.;Anales Judiciales de la Corte Suprema de Justicia 1963
1963;----;Es infundada la demanda de división y partición, cuando no se ha acreditado el título con que se pide, ni tampoco el derecho de propiedad de causante;Anales Judiciales de la Corte Suprema de Justicia 1963
1963;----;El reconocimiento y la sentencia declaratoria de la paternidad, son los únicos medios de prueba de la filiación paterna ileLa impugnación de la paternidad procede cuando se trata del hijo nacido dentro de un matrimonio;Anales Judiciales de la Corte Suprema de Justicia 1963
1963;----;La acción de deslinde no procede respecto de propiedades urbanas, la que sólo puede referirse a fundos rústicos cuando hay confusión de linderos a fin de que delimitados se fije la línea divisoria en la forma señalada por la ley.;Anales Judiciales de la Corte Suprema de Justicia 1963
1963;----;Si se ocupa una sección de un inmueble, que no ha sido materia del contrato de arriendo, hay acción de deshaucio por precario, en lo que a esa sección respecta.;Anales Judiciales de la Corte Suprema de Justicia 1963
1963;----;Cualquier suma que por cualquier concepto tienda a sobrepasar la tasa máxima de interés del dinero, en los contratos de mutuo, constituye infracción a la ley Nº 2760. Es nula la cláusula que disponga ese pago adicional.;Anales Judiciales de la Corte Suprema de Justicia 1963
1963;----;El arrendatario posee para el propietario y no para sí. En consecuencia, está facultado para el ejercicio de la acción de deshaucio por ocupación precaria, en defensa del bien locado.;Anales Judiciales de la Corte Suprema de Justicia 1963
1963;----;El emplazamiento de nuevos demandados, importa una variación sustancial de la demanda. La consignación hecha antes de que todos los demandados hubieran sido notificados con la demanda, hace desaparecer la mora alegada como fundamento para una acción de deshaucio por falta de pago.;Anales Judiciales de la Corte Suprema de Justicia 1963
1963;----;Las aisladas discrepancias surgidas durante el lapso de una larga vida matrimonial, y las expresiones descomedidas que no revisten carácter de gravedad, debido a la ausencia de una motivación racional que demuestre por su reiteración la existencia en el agente de un ánimo perverso, y la ausencia de propósito de que la ofensa trascienda fuera del ámbito del hogar, no configuran una causal de divorcio.;Anales Judiciales de la Corte Suprema de Justicia 1963
1963;----;Habiéndose prorrogado el contrato de locación-conducción, y su modificación, en la condición esencial de indeterminación de plazo, es indispensable el aviso anticipado exigido por el Art. 1495 del C.C., para que proceda la acción dirigida a poner término al contrato.;Anales Judiciales de la Corte Suprema de Justicia 1963
1963;----;No habiéndose demandado a título reivindicatorio la restitución de bienes, sino simplemente el pago de su valor, la acción ejercitada es la personal, y está sujeta al plazo de la prescripción de quince años.;Anales Judiciales de la Corte Suprema de Justicia 1963
1963;----;Cuando el Juez al dictar la sentencia de divorcio absoluto como consecuencia del transcurso de un año de la sentencia del juicio de separación, mantiene la pensión de alimentos señalada en el primer procedimiento, dicha pensión rige hasta que se produzca la sentencia de exoneración en el juicio correspondiente.;Anales Judiciales de la Corte Suprema de Justicia 1963
1963;----;Mientras subsista el estado de indivisión de un bien y no se encuentre éste bajo régimen de administración común, el condómino no puede reclamar los frutos civiles devengados.;Anales Judiciales de la Corte Suprema de Justicia 1963
1963;----;La acción sobre declaración de paternidad ilegítima del hijo nacido durante el matrimonio o dentro de los trescientos días siguientes a su disolución y que según la presunción legal tiene por padre al marido, sólo puede instaurarse después de que éste haya seguido el juicio de impugnación de su propia paternidad y obtenido sentencia favorable.;Anales Judiciales de la Corte Suprema de Justicia 1963
1963;----;Tratándose de inmuebles cuyo dominio se encuentra inscrito en los Registros Públicos, la publicidad, principio esencial de éstos, hace indispensable que toda acción judicial que tienda a modificar dicha inscripción se entienda con quien es el titular del derecho según el Registro.;Anales Judiciales de la Corte Suprema de Justicia 1963
1963;----;El juicio de divorcio sólo puede conciuir con la espectiva sentencia que ponga fin al procedimiento. El corte del juicio en los términos de los arts. 250 y 251 del C.C. sólo es procedente si la causal invocada es la de adulterio.;Anales Judiciales de la Corte Suprema de Justicia 1963
1963;----;No está expedita la acción de rendición de cuentas contra la tutora que no ha discernido el cargo ni ejercitado administración de hecho respecto de los bienes del alieni juris.;Anales Judiciales de la Corte Suprema de Justicia 1963
1963;----; La excepción de demanda inepta, es inadmisible por no estar considerada en el Código de Procedimientos Civiles.;Anales Judiciales de la Corte Suprema de Justicia 1963
1963;----;La acumulación de procesos tiene el propósito de evitar resoluciones contradictorias. No tiene la virtualidad de modificar la cuantía de cada una de las acciones acumuladas.;Anales Judiciales de la Corte Suprema de Justicia 1963
1963;----;Si el Juez declara improcedente la demanda de deslinde, no debe fijar lindero en la sentencia, por carecer de objeto el señalamiento de la línea divisoria.;Anales Judiciales de la Corte Suprema de Justicia 1963
1963;----;Las partidas supletorias producen los mismos efectos que las inscritas en su oportunidad. No obsta en contrario que la partida se halla inscrito por mandato judicial con posterioridad al fallecimiento del de cujus;Anales Judiciales de la Corte Suprema de Justicia 1963
1963;----;En las acciones por responsabilidad derivada de acto ilícito, el actor no está obligado a dirigir la demanda contra la Compañía Aseguradora, que cubre el riesgo. Le basta dirigirla contra quien aparece responsable, en los términos de los arts. 1136 y siguientes del C.C. ;Anales Judiciales de la Corte Suprema de Justicia 1963
1963;----;Los empleados públicos cuyo nombramiento conste de notoriedad, no necesitan acreditar su personería, sino que les basta invocar el título que invisten. (Teoría del hecho notorio en el proceso civil);Anales Judiciales de la Corte Suprema de Justicia 1963
1963;----;El tenedor de acciones de una Compañía anónima, está obligado a rendir cuenta de la administración de hecho que ejerce sobre esos títulos, cuando ellos pertenecen a un acervo hereditario.;Anales Judiciales de la Corte Suprema de Justicia 1963
1963;----;Los escritos solicitando copias de los actuados no interrumpen el término del abandono. ;Anales Judiciales de la Corte Suprema de Justicia 1963
1963;----;En las causas provenientes de provincias el término para interponer el recurso de nulidad corre desde el día siguiente al de la expedición de la sentencia, para la parte que no se apersona a la sede de la respectiva Corte Superior;Anales Judiciales de la Corte Suprema de Justicia 1963
1963;----;Cuando se solicita la disolución del vínculo matrimonial por el transcurso de un año de la sentencia de separación no puede alterarse lo que las partes acordaron, al anularse una sentencia que ya pasó con autoridad de cosa juzgada.;Anales Judiciales de la Corte Suprema de Justicia 1963
1963;----;El cargo de defensor de herencia, conferido en razón de la persona, no puede transferirse ni sustituirse. La omisión de esta regla del procedimiento acarrea nulidad.;Anales Judiciales de la Corte Suprema de Justicia 1963
1963;----;La acción de tercería sólo puede ejercitarse por quienes son extraños a la obligación que originó el embargo. Los herederos de una sucesión demandada son obligados y por lo mismo, no pueden ser terceristas;Anales Judiciales de la Corte Suprema de Justicia 1963
1963;----;Adolece de nulidad la sentencia que no ha sido dictada de acuerdo con el precepto del Art. 107 del C. de P.C. y sus concordantes 1074 y 1075 del mismo Código, así como las disposiciones del Decreto Ley Nº 14606. ;Anales Judiciales de la Corte Suprema de Justicia 1963
